poll_id,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,numeric_grade,pollscore,methodology,transparency_score,state,start_date,end_date,sponsor_candidate_id,sponsor_candidate,sponsor_candidate_party,endorsed_candidate_id,endorsed_candidate_name,endorsed_candidate_party,question_id,sample_size,population,subpopulation,population_full,tracking,created_at,notes,url,url_article,url_topline,url_crosstab,source,internal,partisan,race_id,cycle,office_type,seat_number,seat_name,election_date,stage,nationwide_batch,ranked_choice_reallocated,ranked_choice_round,hypothetical,party,answer,candidate_id,candidate_name,pct,num_harris
89217,770,TIPP,NA,NA,TIPP Insights,144,TIPP Insights,1.8,-0.4,Online Panel,3,National,10/30/24,2024-11-01,NA,NA,NA,NA,NA,NA,215690,NA,lv,NA,lv,TRUE,11/2/24 10:46,NA,https://tippinsights.com/tipp-tracking-day-20-trump-and-harris-deadlocked-with-three-days-to-go/,https://tippinsights.com/tipp-tracking-day-20-trump-and-harris-deadlocked-with-three-days-to-go/,NA,NA,NA,NA,NA,8914,2024,U.S. President,0,NA,11/5/24,general,FALSE,FALSE,NA,FALSE,DEM,Harris,16661,Kamala Harris,48,NA
89217,770,TIPP,NA,NA,TIPP Insights,144,TIPP Insights,1.8,-0.4,Online Panel,3,National,10/30/24,2024-11-01,NA,NA,NA,NA,NA,NA,215691,NA,lv,NA,lv,TRUE,11/2/24 10:46,NA,https://tippinsights.com/tipp-tracking-day-20-trump-and-harris-deadlocked-with-three-days-to-go/,https://tippinsights.com/tipp-tracking-day-20-trump-and-harris-deadlocked-with-three-days-to-go/,NA,NA,NA,NA,NA,8914,2024,U.S. President,0,NA,11/5/24,general,FALSE,FALSE,NA,FALSE,DEM,Harris,16661,Kamala Harris,48.1,NA
89198,290,MassINC Polling Group,NA,NA,MassINC Polling Group,198,MassINC Polling Group,2.8,-0.8,Online Panel/Text-to-Web,7,Massachusetts,10/29/24,2024-11-01,NA,NA,NA,NA,NA,NA,215530,582,lv,NA,lv,NA,11/1/24 15:50,NA,https://www.massincpolling.com/our-work/final-mpg-poll-of-massachusetts-voters-find-harris-warren-maintaining-commanding-leads,https://www.massincpolling.com/our-work/final-mpg-poll-of-massachusetts-voters-find-harris-warren-maintaining-commanding-leads,https://static1.squarespace.com/static/5eb9fa2f8ac4df11937f6a49/t/67252736a27be76d295404cd/1730488118174/Topline+2024+10+Nov+MA+Election.pdf,NA,NA,FALSE,NA,8811,2024,U.S. President,0,NA,11/5/24,general,FALSE,FALSE,NA,TRUE,DEM,Harris,16661,Kamala Harris,61,355
89221,1752,Stetson University Center for Public Opinion Research,NA,NA,Stetson University Center for Public Opinion Research,730,Stetson University Center for Public Opinion Research,1.5,0.3,Online Panel,6,Florida,10/25/24,2024-11-01,NA,NA,NA,NA,NA,NA,215696,452,lv,NA,lv,NA,11/2/24 10:46,NA,https://www2.stetson.edu/today/2024/11/trump-holds-7-point-lead-over-harris-in-florida-new-cpor-poll-finds/,https://www2.stetson.edu/today/2024/11/trump-holds-7-point-lead-over-harris-in-florida-new-cpor-poll-finds/,NA,https://www.stetson.edu/artsci/cpor/media/data/november-poll-crosstabs-release.pdf,NA,NA,NA,8778,2024,U.S. President,0,NA,11/5/24,general,FALSE,FALSE,NA,FALSE,DEM,Harris,16661,Kamala Harris,46,208
89141,1528,AtlasIntel,NA,NA,AtlasIntel,546,AtlasIntel,2.7,-0.8,Online Ad,6,National,10/30/24,2024-10-31,NA,NA,NA,NA,NA,NA,215172,3490,lv,NA,lv,NA,10/31/24 15:45,NA,https://www.atlasintel.org/poll/usa-national-2024-10-31,https://www.atlasintel.org/poll/usa-national-2024-10-31,NA,https://cdn.atlasintel.org/a6fb1a34-9f8c-496d-bc2b-f67e251661b8.pdf,NA,NA,NA,8914,2024,U.S. President,0,NA,11/5/24,general,FALSE,FALSE,NA,FALSE,DEM,Harris,16661,Kamala Harris,47.2,1647
89141,1528,AtlasIntel,NA,NA,AtlasIntel,546,AtlasIntel,2.7,-0.8,Online Ad,6,National,10/30/24,2024-10-31,NA,NA,NA,NA,NA,NA,215173,3490,lv,NA,lv,NA,10/31/24 15:45,NA,https://www.atlasintel.org/poll/usa-national-2024-10-31,https://www.atlasintel.org/poll/usa-national-2024-10-31,NA,https://cdn.atlasintel.org/a6fb1a34-9f8c-496d-bc2b-f67e251661b8.pdf,NA,NA,NA,8914,2024,U.S. President,0,NA,11/5/24,general,FALSE,FALSE,NA,FALSE,DEM,Harris,16661,Kamala Harris,48.2,1682
89142,1528,AtlasIntel,NA,NA,AtlasIntel,546,AtlasIntel,2.7,-0.8,Online Ad,6,North Carolina,10/30/24,2024-10-31,NA,NA,NA,NA,NA,NA,215182,1373,lv,NA,lv,NA,10/31/24 15:46,NA,https://www.atlasintel.org/poll/usa-swing-states-2024-10-31,https://www.atlasintel.org/poll/usa-swing-states-2024-10-31,NA,https://cdn.atlasintel.org/89b089d5-71ee-462d-a710-1427664e80ed.pdf,NA,NA,NA,8839,2024,U.S. President,0,NA,11/5/24,general,FALSE,FALSE,NA,FALSE,DEM,Harris,16661,Kamala Harris,46.7,641
89142,1528,AtlasIntel,NA,NA,AtlasIntel,546,AtlasIntel,2.7,-0.8,Online Ad,6,North Carolina,10/30/24,2024-10-31,NA,NA,NA,NA,NA,NA,215183,1373,lv,NA,lv,NA,10/31/24 15:46,NA,https://www.atlasintel.org/poll/usa-swing-states-2024-10-31,https://www.atlasintel.org/poll/usa-swing-states-2024-10-31,NA,https://cdn.atlasintel.org/89b089d5-71ee-462d-a710-1427664e80ed.pdf,NA,NA,NA,8839,2024,U.S. President,0,NA,11/5/24,general,FALSE,FALSE,NA,FALSE,DEM,Harris,16661,Kamala Harris,47,645
89143,1528,AtlasIntel,NA,NA,AtlasIntel,546,AtlasIntel,2.7,-0.8,Online Ad,6,Arizona,10/30/24,2024-10-31,NA,NA,NA,NA,NA,NA,215174,1005,lv,NA,lv,NA,10/31/24 15:45,NA,https://www.atlasintel.org/poll/usa-swing-states-2024-10-31,https://www.atlasintel.org/poll/usa-swing-states-2024-10-31,NA,https://cdn.atlasintel.org/89b089d5-71ee-462d-a710-1427664e80ed.pdf,NA,NA,NA,8759,2024,U.S. President,0,NA,11/5/24,general,FALSE,FALSE,NA,FALSE,DEM,Harris,16661,Kamala Harris,45.9,461
89143,1528,AtlasIntel,NA,NA,AtlasIntel,546,AtlasIntel,2.7,-0.8,Online Ad,6,Arizona,10/30/24,2024-10-31,NA,NA,NA,NA,NA,NA,215175,1005,lv,NA,lv,NA,10/31/24 15:45,NA,https://www.atlasintel.org/poll/usa-swing-states-2024-10-31,https://www.atlasintel.org/poll/usa-swing-states-2024-10-31,NA,https://cdn.atlasintel.org/89b089d5-71ee-462d-a710-1427664e80ed.pdf,NA,NA,NA,8759,2024,U.S. President,0,NA,11/5/24,general,FALSE,FALSE,NA,FALSE,DEM,Harris,16661,Kamala Harris,46.8,470
89144,1528,AtlasIntel,NA,NA,AtlasIntel,546,AtlasIntel,2.7,-0.8,Online Ad,6,Georgia,10/30/24,2024-10-31,NA,NA,NA,NA,NA,NA,215176,1212,lv,NA,lv,NA,10/31/24 15:45,NA,https://www.atlasintel.org/poll/usa-swing-states-2024-10-31,https://www.atlasintel.org/poll/usa-swing-states-2024-10-31,NA,https://cdn.atlasintel.org/89b089d5-71ee-462d-a710-1427664e80ed.pdf,NA,NA,NA,8781,2024,U.S. President,0,NA,11/5/24,general,FALSE,FALSE,NA,FALSE,DEM,Harris,16661,Kamala Harris,47.2,572
